name,desc,latitude,longitude 
149,"RecordNo: 149, RC:1779, Lat:42.450570, Long:-83.277199 ",42.45057,-83.277199
150,"RecordNo: 150, RC:1779, Lat:42.450569, Long:-83.277186 ",42.450569,-83.277186
151,"RecordNo: 151, RC:1977, Lat:42.450569, Long:-83.277186 ",42.450569,-83.277186
152,"RecordNo: 152, RC:1977, Lat:42.450569, Long:-83.277186 ",42.450569,-83.277186
153,"RecordNo: 153, RC:1977, Lat:42.450569, Long:-83.277186 ",42.450569,-83.277186
154,"RecordNo: 154, RC:1977, Lat:42.450568, Long:-83.277161 ",42.450568,-83.277161
155,"RecordNo: 155, RC:3321, Lat:42.450568, Long:-83.277161 ",42.450568,-83.277161
156,"RecordNo: 156, RC:3321, Lat:42.450568, Long:-83.277161 ",42.450568,-83.277161
157,"RecordNo: 157, RC:3321, Lat:42.450568, Long:-83.277161 ",42.450568,-83.277161
158,"RecordNo: 158, RC:3321, Lat:42.450567, Long:-83.277142 ",42.450567,-83.277142
159,"RecordNo: 159, RC:2560, Lat:42.450567, Long:-83.277142 ",42.450567,-83.277142
160,"RecordNo: 160, RC:2560, Lat:42.450567, Long:-83.277142 ",42.450567,-83.277142
161,"RecordNo: 161, RC:2560, Lat:42.450567, Long:-83.277142 ",42.450567,-83.277142
162,"RecordNo: 162, RC:2560, Lat:42.450566, Long:-83.277130 ",42.450566,-83.27713
163,"RecordNo: 163, RC:-9675, Lat:42.450566, Long:-83.277130 ",42.450566,-83.27713
164,"RecordNo: 164, RC:-9675, Lat:42.450566, Long:-83.277130 ",42.450566,-83.27713
165,"RecordNo: 165, RC:-9675, Lat:42.450566, Long:-83.277130 ",42.450566,-83.27713
166,"RecordNo: 166, RC:-9675, Lat:42.450565, Long:-83.277111 ",42.450565,-83.277111
167,"RecordNo: 167, RC:-2989, Lat:42.450565, Long:-83.277111 ",42.450565,-83.277111
168,"RecordNo: 168, RC:-2989, Lat:42.450565, Long:-83.277111 ",42.450565,-83.277111
169,"RecordNo: 169, RC:-2989, Lat:42.450564, Long:-83.277092 ",42.450564,-83.277092
170,"RecordNo: 170, RC:7676, Lat:42.450564, Long:-83.277092 ",42.450564,-83.277092
171,"RecordNo: 171, RC:7676, Lat:42.450564, Long:-83.277092 ",42.450564,-83.277092
172,"RecordNo: 172, RC:7676, Lat:42.450564, Long:-83.277092 ",42.450564,-83.277092
173,"RecordNo: 173, RC:7676, Lat:42.450564, Long:-83.277073 ",42.450564,-83.277073
174,"RecordNo: 174, RC:-6046, Lat:42.450564, Long:-83.277073 ",42.450564,-83.277073
175,"RecordNo: 175, RC:-6046, Lat:42.450564, Long:-83.277073 ",42.450564,-83.277073
176,"RecordNo: 176, RC:-6046, Lat:42.450564, Long:-83.277073 ",42.450564,-83.277073
177,"RecordNo: 177, RC:-6046, Lat:42.450563, Long:-83.277055 ",42.450563,-83.277055
178,"RecordNo: 178, RC:-7339, Lat:42.450563, Long:-83.277055 ",42.450563,-83.277055
179,"RecordNo: 179, RC:-7339, Lat:42.450563, Long:-83.277055 ",42.450563,-83.277055
180,"RecordNo: 180, RC:-7339, Lat:42.450563, Long:-83.277055 ",42.450563,-83.277055
181,"RecordNo: 181, RC:-7339, Lat:42.450562, Long:-83.277030 ",42.450562,-83.27703
182,"RecordNo: 182, RC:-32435, Lat:42.450562, Long:-83.277030 ",42.450562,-83.27703
183,"RecordNo: 183, RC:-32435, Lat:42.450562, Long:-83.277030 ",42.450562,-83.27703
184,"RecordNo: 184, RC:-32435, Lat:42.450562, Long:-83.277030 ",42.450562,-83.27703
185,"RecordNo: 185, RC:-32435, Lat:42.450561, Long:-83.277012 ",42.450561,-83.277012
186,"RecordNo: 186, RC:32767, Lat:42.450561, Long:-83.277012 ",42.450561,-83.277012
187,"RecordNo: 187, RC:32767, Lat:42.450561, Long:-83.277012 ",42.450561,-83.277012
188,"RecordNo: 188, RC:32767, Lat:42.450561, Long:-83.277012 ",42.450561,-83.277012
189,"RecordNo: 189, RC:32767, Lat:42.450561, Long:-83.276993 ",42.450561,-83.276993
190,"RecordNo: 190, RC:-10311, Lat:42.450561, Long:-83.276993 ",42.450561,-83.276993
191,"RecordNo: 191, RC:-10311, Lat:42.450561, Long:-83.276993 ",42.450561,-83.276993
192,"RecordNo: 192, RC:-10311, Lat:42.450560, Long:-83.276969 ",42.45056,-83.276969
193,"RecordNo: 193, RC:-8474, Lat:42.450560, Long:-83.276969 ",42.45056,-83.276969
194,"RecordNo: 194, RC:-8474, Lat:42.450560, Long:-83.276969 ",42.45056,-83.276969
195,"RecordNo: 195, RC:-8474, Lat:42.450560, Long:-83.276969 ",42.45056,-83.276969
196,"RecordNo: 196, RC:-8474, Lat:42.450559, Long:-83.276950 ",42.450559,-83.27695
197,"RecordNo: 197, RC:-32767, Lat:42.450559, Long:-83.276950 ",42.450559,-83.27695
198,"RecordNo: 198, RC:-32767, Lat:42.450559, Long:-83.276950 ",42.450559,-83.27695
199,"RecordNo: 199, RC:-32767, Lat:42.450559, Long:-83.276950 ",42.450559,-83.27695
200,"RecordNo: 200, RC:-32767, Lat:42.450558, Long:-83.276932 ",42.450558,-83.276932
201,"RecordNo: 201, RC:-6383, Lat:42.450558, Long:-83.276932 ",42.450558,-83.276932
202,"RecordNo: 202, RC:-6383, Lat:42.450558, Long:-83.276932 ",42.450558,-83.276932
203,"RecordNo: 203, RC:-6383, Lat:42.450558, Long:-83.276932 ",42.450558,-83.276932
204,"RecordNo: 204, RC:-6383, Lat:42.450558, Long:-83.276913 ",42.450558,-83.276913
205,"RecordNo: 205, RC:-9201, Lat:42.450558, Long:-83.276913 ",42.450558,-83.276913
206,"RecordNo: 206, RC:-9201, Lat:42.450558, Long:-83.276913 ",42.450558,-83.276913
207,"RecordNo: 207, RC:-9201, Lat:42.450558, Long:-83.276913 ",42.450558,-83.276913
208,"RecordNo: 208, RC:-9201, Lat:42.450557, Long:-83.276888 ",42.450557,-83.276888
209,"RecordNo: 209, RC:-9296, Lat:42.450557, Long:-83.276888 ",42.450557,-83.276888
210,"RecordNo: 210, RC:-9296, Lat:42.450557, Long:-83.276888 ",42.450557,-83.276888
211,"RecordNo: 211, RC:-9296, Lat:42.450557, Long:-83.276888 ",42.450557,-83.276888
212,"RecordNo: 212, RC:-9296, Lat:42.450557, Long:-83.276869 ",42.450557,-83.276869
213,"RecordNo: 213, RC:22927, Lat:42.450557, Long:-83.276869 ",42.450557,-83.276869
214,"RecordNo: 214, RC:22927, Lat:42.450557, Long:-83.276869 ",42.450557,-83.276869
215,"RecordNo: 215, RC:22927, Lat:42.450556, Long:-83.276850 ",42.450556,-83.27685
216,"RecordNo: 216, RC:-29937, Lat:42.450556, Long:-83.276850 ",42.450556,-83.27685
217,"RecordNo: 217, RC:-29937, Lat:42.450556, Long:-83.276850 ",42.450556,-83.27685
218,"RecordNo: 218, RC:-29937, Lat:42.450556, Long:-83.276850 ",42.450556,-83.27685
219,"RecordNo: 219, RC:-29937, Lat:42.450556, Long:-83.276831 ",42.450556,-83.276831
220,"RecordNo: 220, RC:-6952, Lat:42.450556, Long:-83.276831 ",42.450556,-83.276831
221,"RecordNo: 221, RC:-6952, Lat:42.450556, Long:-83.276831 ",42.450556,-83.276831
222,"RecordNo: 222, RC:-6952, Lat:42.450556, Long:-83.276831 ",42.450556,-83.276831
223,"RecordNo: 223, RC:-6952, Lat:42.450555, Long:-83.276812 ",42.450555,-83.276812
224,"RecordNo: 224, RC:-13168, Lat:42.450555, Long:-83.276812 ",42.450555,-83.276812
225,"RecordNo: 225, RC:-13168, Lat:42.450555, Long:-83.276812 ",42.450555,-83.276812
226,"RecordNo: 226, RC:-13168, Lat:42.450555, Long:-83.276812 ",42.450555,-83.276812
227,"RecordNo: 227, RC:-13168, Lat:42.450555, Long:-83.276799 ",42.450555,-83.276799
228,"RecordNo: 228, RC:-10534, Lat:42.450555, Long:-83.276799 ",42.450555,-83.276799
